vendorCode;price
JTC-4907;1380
JTC-4908;1155
JTC-1528-22;1080
JTC-1528-21;1000
JTC-1040;330
JTC-1039;330
JTC-1041;290
JTC-6622;47900
JTC-4825B;30900
JTC-4702;500
JTC-4948;490
JTC-4918;510
JTC-4249;520
JTC-4919;390
JTC-1706;880
JTC-1707;900
JTC-1543-4;750
JTC-4917;480
JTC-7796;7700
JTC-4714;470
JTC-4321;300
JTC-6701;710
JTC-6702;695
JTC-6711;2350
JTC-1117;1690
JTC-6760;660
JTC-1936;595
JTC-1211;630
JTC-4040;1200
JTC-1606;595
JTC-1607;540
JTC-4701;530
JTC-5259;10500
JTC-4315;10800
JTC-6749;1500
JTC-4758;1750
JTC-1345A;1400
JTC-1346A;1880
JTC-1344A;1320
JTC-1935;710
JTC-1348;760
JTC-1347;2480
JTC-4010;1650
JTC-4008;1400
JTC-4009;1395
JTC-4007;1020
JTC-1919;1450
JTC-4043;4900
JTC-4272;7705
JTC-JW0768;1350
JTC-4232;1875
JTC-4708;602
JTC-1015;2200
JTC-4024;3250
JTC-4025;3300
JTC-4159;3520
JTC-JW0709;1770
JTC-1437;970
JTC-1903;500
JTC-1901;1900
JTC-4194;430
JTC-4041;1500
JTC-4042;2630
JTC-4486;730
JTC-4168;2265
JTC-1422P;400
JTC-1423P;795
JTC-4077;4200
JTC-JW0099;7650
JTC-4302;24980
JTC-1364;14985
JTC-1621A;3630
JTC-1010;7210
JTC-4898;2055
JTC-4899;2180
JTC-1618;450
JTC-1617;550
JTC-4723;580
JTC-1359;5340
JTC-4777;3750
JTC-1425;3720
JTC-JW0895;2500
JTC-JW0896;3020
JTC-1543;3150
JTC-4493;2250
JTC-4536;2250
JTC-4917S;3600
JTC-4918S;5120
JTC-4865;3850
JTC-6718;20200
JTC-6705S;24500
JTC-1236;5815
JTC-4774;1400
JTC-4497;23550
JTC-6756;10900
JTC-4205;1520
JTC-4206;2350
JTC-1009;1330
JTC-1251;2890
JTC-6638;4800
JTC-4262;14300
JTC-4053;11000
JTC-4208;8400
JTC-4850;3100
JTC-4682;5350
JTC-4944;5900
JTC-4517;10950
JTC-6703;10100
JTC-6704;27900
JTC-4901;8350
JTC-4052;8775
JTC-4054;11650
JTC-4435;7680
JTC-6628;6750
JTC-6786;2700
JTC-4229;7580
JTC-4294;20520
JTC-JW0918;6980
JTC-4515;7200
JTC-4767;4500
JTC-4845;6190
JTC-4513;6520
JTC-4771;5500
JTC-4050;6350
JTC-1253;530
JTC-4679;8150
JTC-2045;1880
JTC-2047;3410
JTC-2048;3595
JTC-JW0270;47900
JTC-1717;4400
JTC-1414;9900
JTC-1005;16300
JTC-4842A;19950
JTC-4683;12000
JTC-5467;14150
JTC-4526;4200
JTC-4383;27500
JTC-JW0826;20900
JTC-2120;1630
JTC-4201;8150
JTC-4757;4580
JTC-4027;2028
JTC-6759;1550
JTC-6722;690
JTC-4529;9800
JTC-JW1041;10600
JTC-6601;2430
JTC-4172B;13450
JTC-6618;3690
JTC-JW0715;5450
JTC-4520;24010
JTC-5468A;15400
JTC-JW0639;2270
JTC-4128;11050
JTC-4436;2500
JTC-4439;6820
JTC-6615;2250
JTC-6778;3640
JTC-4808;1390
JTC-4062;4495
JTC-4737;3180
JTC-4666;8400
JTC-4572;8650
JTC-4665;1980
JTC-JW0565;5200
JTC-JW0456;2880
JTC-4175;948
JTC-4174;1560
JTC-4186;2825
JTC-4843;8150
JTC-6630;6290
JTC-4090;1360
JTC-4173;2480
JTC-6697;5620
JTC-6694;4930
JTC-6633;2515
JTC-6633-P1;350
JTC-4712P;415
JTC-4721;3000
JTC-JW0769;6570
JTC-6692;7700
JTC-JW0512;4125
JTC-JW0475;8330
JTC-6696;6200
JTC-4460;7200
JTC-4461;5355
JTC-4469;5200
JTC-4244;13200
JTC-6676;6100
JTC-4156A;26600
JTC-JW0898;2952
JTC-4470;17000
JTC-4234;6185
JTC-1829;14600
JTC-4153B;9400
JTC-JW0781;2650
JTC-JW0780;2330
JTC-4712;2990
JTC-6677;11700
JTC-6678;17000
JTC-4656;665
JTC-4292;2620
JTC-4289;480
JTC-4288;580
JTC-4291;900
JTC-4290;480
JTC-4032;3500
JTC-4084;2870
JTC-1734;835
JTC-4324;1050
JTC-1736;1025
JTC-1737;1700
JTC-1735;900
JTC-4255P;945
JTC-1256-HA;225
JTC-4038-1;2370
JTC-4316;73800
JTC-1528;15000
JTC-6623;4650
JTC-4176;6990
JTC-4166;8650
JTC-5591;7000
JTC-6613;1800
JTC-4542;7400
JTC-1721;5320
JTC-1841;3250
JTC-5161;7700
JTC-5162;10500
JTC-1043;245
JTC-4510;2050
JTC-4342;4570
JTC-4484;680
JTC-4485;660
JTC-5438;865
JTC-4255;8100
JTC-6758;1520
JTC-1341;1360
JTC-6817;2150
JTC-1113;570
JTC-1820;6600
JTC-1245;8400
JTC-1424;4200
JTC-1520;4030
JTC-6775;2700
JTC-4397;1550
JTC-6664;1600
JTC-4579;5430
JTC-4406;2895
JTC-4407;3290
JTC-7767;2350
JTC-4273;1530
JTC-4775;1220
JTC-4422;15850
JTC-6723;12500
JTC-1244;2095
JTC-4212;2650
JTC-1510;4020
JTC-1732;5580
JTC-6746;4250
JTC-1603;1280
JTC-4525;4400
JTC-1730;505
JTC-4490;1750
JTC-4136S;9150
JTC-4136;5890
JTC-7771;12200
JTC-7780;4650
JTC-7795;4050
JTC-4477;2250
JTC-4523;3860
JTC-7774;11200
JTC-5185;1955
JTC-7798;6600
JTC-1904N;3955
JTC-1904T;3430
JTC-1937;3955
JTC-5590;9000
JTC-4480;1185
JTC-5180;1590
JTC-4488;900
JTC-77853;1600
JTC-77854;1600
JTC-77855;1600
JTC-77852;1500
JTC-2110;1580
JTC-77851;1480
JTC-1349;1590
JTC-1430;2780
JTC-4851;5110
JTC-1304;3400
JTC-1711;4420
JTC-1731;3875
JTC-1238;8050
JTC-1620;5195
JTC-JW0776;6590
JTC-4621;5655
JTC-4319;7130
JTC-4736-B;565
JTC-4316-W;2035
JTC-1444-L;2700
JTC-4735-B;520
JTC-4818-M;5425
JTC-1304-16;330
JTC-1304-19;315
JTC-1304-23;330
JTC-1304-25;375
JTC-1304-30;565
JTC-1524;5700
JTC-4054-D7;1700
JTC-4054-D8;1700
JTC-4054-D9;1720
JTC-1506;615
JTC-1504;570
JTC-1505;590
JTC-1501;390
JTC-1449;11780
JTC-1007;1315
JTC-1921;695
JTC-1426;17050
JTC-1626;3730
JTC-4806;19580
JTC-5826;1350
JTC-1408;985
JTC-1243;2860
JTC-4260;1430
JTC-4734;1700
JTC-4462;4500
JTC-6640;3730
JTC-4261;4265
JTC-4023;1585
JTC-1315;1050
JTC-1315-1;560
JTC-4078;3190
JTC-1949;1280
JTC-1716;1235
JTC-4341;3260
JTC-4722;1600
JTC-1608;750
JTC-1252;1300
JTC-1312A;2360
JTC-4489;2250
JTC-4452;635
JTC-7797;3950
JTC-4637;2170
JTC-4638;2170
JTC-1103;3100
JTC-4303;3820
JTC-4304;7750
JTC-4773;2000
JTC-4800;2560
JTC-4223;1220
JTC-1951;2420
JTC-1453;5050
JTC-5274;3400
JTC-1429;650
JTC-4571;425
JTC-4600;2050
JTC-4735;1150
JTC-4352;465
JTC-4353;465
JTC-6634;1530
JTC-1151;1280
JTC-4724;2950
JTC-4736;2000
JTC-1945;590
JTC-1601;730
JTC-1942;760
JTC-4095;1455
JTC-4904A;760
JTC-4859A;960
JTC-1114;540
JTC-1514;1380
JTC-6761;1250
JTC-1021;540
JTC-4667;650
JTC-1946;615
JTC-1235;550
JTC-1521;670
JTC-4611;640
JTC-4668;665
JTC-4669;650
JTC-4103;660
JTC-1403;580
JTC-1451;2950
JTC-1324;1405
JTC-1515;640
JTC-4695;710
JTC-1602;890
JTC-1947;600
JTC-4670;770
JTC-1522;650
JTC-1101;1330
JTC-4703;1150
JTC-4104;750
JTC-1516;1770
JTC-4612;740
JTC-1948;600
JTC-1523;2400
JTC-JW0001;3410
JTC-4339;1800
JTC-1448;4750
JTC-4246;1080
JTC-4247;1075
JTC-4248;1010
JTC-4245;1050
JTC-4458;4990
JTC-4646;2540
JTC-4927;9800
JTC-4279;1330
JTC-1028A;1480
JTC-1812;2620
JTC-1027;930
JTC-4869;2760
JTC-1350;6510
JTC-4922;825
JTC-4738;3380
JTC-4278;4950
JTC-1953;4620
JTC-1102;1720
JTC-4129;8400
JTC-4142;4650
JTC-4445;5800
JTC-4811;980
JTC-4943;420
JTC-1622;2450
JTC-4776;4880
JTC-4251;11050
JTC-4250;13350
JTC-1256;3200
JTC-1225E;14200
JTC-1225J;10100
JTC-1225;26300
JTC-1536;5900
JTC-4012;7600
JTC-6661;6750
JTC-4325;20660
JTC-1340A;10200
JTC-4326;6900
JTC-4925;2850
JTC-4926;5800
JTC-4846;4428
JTC-4038;2800
JTC-4866;660
JTC-4438;3430
JTC-4524;3140
JTC-1418;820
JTC-6670;1400
JTC-4343;2100
JTC-4344;1740
JTC-4750;3650
JTC-4684;1530
JTC-4092;3100
JTC-1723;960
JTC-1813;800
JTC-4031;16660
JTC-4030;2790
JTC-4849;4350
JTC-4099;16950
JTC-4277A;5800
JTC-4211;1650
JTC-4002;18699
JTC-4031-P;8080
JTC-4678;7450
JTC-4763;1940
JTC-4676;7450
JTC-4765;16850
JTC-4675;9350
JTC-4677A;3800
JTC-4770A;8350
JTC-1548;5970
JTC-4153-5;820
JTC-4929;6150
JTC-1314;2450
JTC-4809;1830
JTC-1831;1860
JTC-1902;2550
JTC-1513;3870
JTC-1533;1996
JTC-4409;4450
JTC-4013;4100
JTC-4167;2480
JTC-4385;3590
JTC-JW0081;2100
JTC-4184;3350
JTC-4821;2350
JTC-4026;2750
JTC-4823;2700
JTC-4085;3850
JTC-1209;3960
JTC-1830;2280
JTC-4755;4950
JTC-4685;820
JTC-1454;820
JTC-1423;2050
JTC-1022;4280
JTC-4061;5350
JTC-4613;1860
JTC-4740;4490
JTC-1814;980
JTC-1452A-B2;550
JTC-1452A-W;400
JTC-1452A-Y;480
JTC-4091-M10;2250
JTC-4091-M12;2511
JTC-4091-M14;2635
JTC-4091-M16;2700
JTC-4704-S10;2800
JTC-4704-S12;2760
JTC-4704-S14;2760
JTC-4704-S16;2760
JTC-4731;550
JTC-4133;3180
JTC-4713;615
JTC-7799;4600
JTC-4599;490
JTC-4598;530
JTC-1527;495
JTC-1366;460
JTC-1323-1022-66;660
JTC-1323-1022-36;520
JTC-1323-1022-38;520
JTC-1323-1022-39;520
JTC-1323-1022-40;555
JTC-1365;510
JTC-1014;2950
JTC-1210;3300
JTC-4589;1630
JTC-1025-18;2670
JTC-5307;580
JTC-5308;495
JTC-4065;7675
JTC-4064;5100
JTC-5150;895
JTC-5328;1190
JTC-1733;280
JTC-1911;1520
JTC-1329;2170
JTC-4269;2330
JTC-1353;1450
JTC-1212;1140
JTC-1546;1940
JTC-1918;1020
JTC-1532A;4580
JTC-1531;1580
JTC-1530;1850
JTC-5611;1160
JTC-6726;8900
JTC-4058L;5990
JTC-4236;6050
JTC-4058;5740
JTC-6769;3350
JTC-6820;5350
JTC-3431;2400
JTC-4890;2650
JTC-7792;21900
JTC-4075;16900
JTC-4880;6235
JTC-4164;9200
JTC-6647;8100
JTC-4528;21700
JTC-5176;8655
JTC-4178;2170
JTC-4225;7575
JTC-4158;1190
JTC-4454;4600
JTC-6770;25700
JTC-4091;29800
JTC-4650;5190
JTC-6627;21100
JTC-4306;17750
JTC-4307;18150
JTC-7791;11500
JTC-4468;7650
JTC-1323;16500
JTC-4463;24300
JTC-1613A;3430
JTC-4274;57300
JTC-1611A;3690
JTC-5595;12400
JTC-4660;825
JTC-5631;4350
JTC-5433;1860
JTC-1541;2605
JTC-4856;16800
JTC-4855;17500
JTC-5192;11780
JTC-5191;3610
JTC-5574;13195
JTC-5196;7525
JTC-5194;4440
JTC-1511;1770
JTC-1001A;14700
JTC-1141;5300
JTC-7687;21150
JTC-1145;7450
JTC-4831;29200
JTC-4704;90300
JTC-1144;14600
JTC-4144P;5270
JTC-1033;12800
JTC-4254;52300
JTC-1034;45770
JTC-5630;380
JTC-4219;2250
JTC-4355;2755
JTC-5607;280
JTC-5608;420
JTC-5609;480
JTC-39221;165
JTC-3922L1;225
JTC-39231;225
JTC-4876;15600
JTC-7808;4885
JTC-5489;4647
JTC-5157;3880
JTC-5171;2760
JTC-5173;1540
JTC-5172;2570
JTC-4165;1785
JTC-7807;3450
JTC-5179;3960
JTC-4113;4030
JTC-4483;1200
JTC-5496;19431
JTC-4055;7270
JTC-4487;665
JTC-6631;15000
JTC-1026;3350
JTC-4810;5040
JTC-1024;11250
JTC-5175;1645
JTC-5190;3520
JTC-1335;1160
JTC-4564;1450
JTC-1217;870
JTC-4482;840
JTC-5195;2575
JTC-1452A;5400
JTC-4687;8475
JTC-6667;3430
JTC-1020;10800
JTC-1050;13650
JTC-1537;62300
JTC-1045;7650
JTC-1023A;9750
JTC-1032;21800
JTC-1025;8300
JTC-1342;595
JTC-4826;1480
JTC-1343;760
JTC-4252;14300
JTC-1840;45200
JTC-4331;31300
JTC-4332;96000
JTC-1803;2500
JTC-6757;5580
JTC-J01;2650
JTC-5807;2880
JTC-4021;14388
JTC-4641;2030
JTC-4057;4265
JTC-3523;590
JTC-3524;750
JTC-7721L;190
JTC-7721;165
JTC-3932;82,5
JTC-1708;515
JTC-1709;350
JTC-4270;2050
JTC-4428;6500
JTC-1037;8500
JTC-1610A;7630
JTC-1559;18900
JTC-4829;2250
JTC-3926;742,5
JTC-5174;1025
JTC-4640;1400
JTC-1503;2950
JTC-1833;580
JTC-5193;5452
JTC-5573;5850
JTC-5177;960
JTC-4567;7125
JTC-4537;1580
JTC-5178;2360
JTC-1944;480
JTC-4871;2815
JTC-4705;11250
JTC-4039;5745
JTC-1035R-6;350
JTC-1035R-7;365
JTC-351712-J;1344
JTC-3928;1265
JTC-3460;530
JTC-4058-C;170
JTC-1404A;47500
JTC-1956;19700
JTC-1955;14500
JTC-6809;14800
JTC-4151;18800
JTC-1401;7450
JTC-F270;2380
JTC-F370;2550
JTC-1941;25200
JTC-6612;11020
JTC-4868;1350
JTC-PM420;41900
JTC-PM400;32000
JTC-PM410;33800
JTC-PM820;56900
JTC-PM800;39000
JTC-1943A;3290
JTC-1950;4650
JTC-4069;1960
JTC-5571;8900
JTC-5572;6170
JTC-4578;11800
JTC-1146;9700
JTC-4459;13100
JTC-5188;4230
JTC-5189;5520
JTC-4079;7500
JTC-4003;5115
JTC-F0416;1140
JTC-F0412;1100
JTC-F0428;1250
JTC-1916;2015
JTC-4643;5050
JTC-4644;5050
JTC-1316;1925
JTC-1247;1750
JTC-F1954;2800
JTC-1336;3260
JTC-1257;1750
JTC-1317;2150
JTC-1258;1790
JTC-1318;3490
JTC-1319;4300
JTC-1320;4650
JTC-4126;3590
JTC-1915;2400
JTC-5341;2650
JTC-4622;1940
JTC-4067;11850
JTC-1351;3720
JTC-1142A;7300
JTC-1035;15900
JTC-7759;20000
JTC-9025;5270
JTC-9035;10800
JTC-9000;1460
JTC-9005;1950
JTC-9015;2550
JTC-4204;6450
JTC-6729;4200
JTC-1143;14950
JTC-4817-1;38
JTC-4465;11250
JTC-4920S;11950
JTC-4466;14700
JTC-1628;5750
JTC-1629;5550
JTC-4816;7900
JTC-4920;6950
JTC-4817;9900
JTC-1259;6980
JTC-6790;15100
JTC-4873;9300
JTC-6802;14600
JTC-4661;3720
JTC-4190;3490
JTC-1727;1950
JTC-6748;4750
JTC-1843;11650
JTC-4672;10950
JTC-1836;6350
JTC-1036;3000
JTC-6732;3300
JTC-1839;2700
JTC-4098;3880
JTC-1129;820
JTC-1952;1040
JTC-1619;4280
JTC-1016;4190
JTC-1802;4190
JTC-6719;4100
JTC-1538A;1550
JTC-4514;19500
JTC-1142P;2100
JTC-1230;1076
JTC-4632;21750
JTC-4819;44500
JTC-1031;27100
JTC-5503;14780
JTC-JW0916;9900
JTC-1241;16200
JTC-4049;6050
JTC-1422;705
JTC-1035R;4800
JTC-4885;30500
JTC-3922;575
JTC-3923;530
JTC-3922L;655
JTC-1023A-A;880
JTC-1025-32;495
JTC-3430;500
JTC-4323;1260
JTC-1025-31;165
JTC-1025-33S;330
JTC-4663;1800
JTC-4857;3645
JTC-4213;500
JTC-4177;500
JTC-4162;830
JTC-4338;580
JTC-4181;590
JTC-4711;650
JTC-1415;1590
JTC-1339;730
JTC-1338;840
JTC-1614;1240
JTC-4909-3;990
JTC-JW0945;520
JTC-4902;555
JTC-JW0777;1800
JTC-4447;32500
JTC-4539;7800
JTC-4861;2600
JTC-1218;2900
JTC-1436;3950
JTC-1715;2505
JTC-1433;2085
JTC-1702;1550
JTC-1701;2470
JTC-4182;5850
JTC-4110;5900
JTC-4941A;3180
JTC-4693;965
JTC-4694;945
JTC-1313;10350
JTC-1123;1300
JTC-4696;850
JTC-4414;850
JTC-4410;650
JTC-1850;8136
JTC-4392;10500
JTC-4596;5700
JTC-4318;2690
JTC-6810;9680
JTC-1804C-OLD;9600
JTC-1804E;12760
JTC-4761;12250
JTC-4820AB;15650
JTC-1819-OLD;3600
JTC-4820AM;9520
JTC-4301;12100
JTC-1804S;3588
JTC-4242;18300
JTC-4203;36000
JTC-1306;4200
JTC-4442;41000
JTC-4161;9480
JTC-4221;17300
JTC-4624;4620
JTC-4209;5028
JTC-4210;9600
JTC-4263;33000
JTC-4199;24000
JTC-4464;16500
JTC-4293;4350
JTC-1847;8300
JTC-1127;27000
JTC-4620;12350
JTC-1809;6400
JTC-4337;11600
JTC-1215;14050
JTC-1557-OLD;14400
JTC-4097;20350
JTC-1553;14400
JTC-4334;21750
JTC-1556;7650
JTC-4154;11988
JTC-4476;14800
JTC-1725;1360
JTC-1846;16800
JTC-1805;9950
JTC-4432;8400
JTC-4441;8180
JTC-4171;12700
JTC-4169;14700
JTC-6796;9680
JTC-5165;31700
JTC-4276;19575
JTC-4924;770
JTC-6620;1790
JTC-6604;21700
JTC-4413S;22300
JTC-4413;16750
JTC-4429;5070
JTC-4375;14950
JTC-4376;58800
JTC-4923S;15000
JTC-1555B;16000
JTC-4618S;9225
JTC-4281;11200
JTC-4280;15000
JTC-4802;12250
JTC-4143;14950
JTC-4448;12900
JTC-4619AB;16200
JTC-4350;23700
JTC-4619A;14800
JTC-4349;15450
JTC-4117;13750
JTC-4235;11050
JTC-4378;38800
JTC-4299;27900
JTC-4759;21900
JTC-4760;14050
JTC-4243;13575
JTC-4214;5850
JTC-4580;44000
JTC-4266;14000
JTC-4228;8300
JTC-4915;10500
JTC-4185;2100
JTC-4618;4740
JTC-4762;5220
JTC-4923A;6500
JTC-4335;7500
JTC-JW0778;1700
JTC-JW0258;2300
JTC-1853;645
JTC-4498;2200
JTC-4157;3400
JTC-6816;990
JTC-4404;6225
JTC-4481;1290
JTC-4415;2570
JTC-4443;13425
JTC-4388;8550
JTC-6626;13700
JTC-1307;2750
JTC-4544;1240
JTC-1852;1050
JTC-4346;1550
JTC-4803;2135
JTC-4804;2720
JTC-4546;800
JTC-4384;8500
JTC-4896;3828
JTC-4512;1695
JTC-4377;7450
JTC-4549;640
JTC-4048;5505
JTC-4059;2605
JTC-5592;10950
JTC-5263;4430
JTC-4189;700
JTC-4231A;24350
JTC-6745;1780
JTC-6608;2050
JTC-4006;3100
JTC-4347;6200
JTC-1115;7350
JTC-4368;10750
JTC-4298;16660
JTC-7788;7700
JTC-7685;8600
JTC-4396;20700
JTC-1837;5300
JTC-4001;8450
JTC-4820A;18750
JTC-4820;42700
JTC-1126;10800
JTC-4728;8200
JTC-4028;1740
JTC-4416;3300
JTC-4910;6945
JTC-4720;2170
JTC-4822;3395
JTC-4345;5550
JTC-4183;12150
JTC-4187A;18400
JTC-4011A;1625
JTC-6660;830
JTC-4227;6750
JTC-4198;6588
JTC-1849;2988
JTC-6706;7990
JTC-4496;4455
JTC-1845;3348
JTC-1405;4180
JTC-1122;600
JTC-1420;830
JTC-1308;1250
JTC-4111;3500
JTC-4419;3100
JTC-4197;5748
JTC-4046;1380
JTC-1550;3335
JTC-4889;4180
JTC-4914;2420
JTC-1310A;9850
JTC-1801;13750
JTC-6705;16800
JTC-6663;16880
JTC-4878;2880
JTC-4145;810
JTC-6669;3400
JTC-6668;5600
JTC-4729;1480
JTC-1549;3025
JTC-4545;4960
JTC-6674;20250
JTC-4336;6900
JTC-4241;5500
JTC-4451;2635
JTC-4333;2715
JTC-4718A;6140
JTC-1842;1670
JTC-1712;2480
JTC-6709;5900
JTC-4709;1590
JTC-6644;5050
JTC-4761-3+7+8;3050
JTC-6606;2170
JTC-4430;8550
JTC-4348;920
JTC-1011;2420
JTC-1848A;12000
JTC-6821;5130
JTC-4146;7300
JTC-6675;4580
JTC-4741;860
JTC-6671;3030
JTC-4060;2490
JTC-4239;3180
JTC-4732;1650
JTC-4114;3970
JTC-1703;1520
JTC-6712;4730
JTC-1806;3420
JTC-1309;18300
JTC-4132;1770
JTC-1558A;9600
JTC-1435A;14250
JTC-1807;6500
JTC-1808;15300
JTC-4909;24150
JTC-1331;1235
JTC-1332;3490
JTC-4521;2450
JTC-4543;18350
JTC-4848;4720
JTC-4047;13050
JTC-1714;1800
JTC-4202;4650
JTC-4727A;2100
JTC-6713;6200
JTC-4906;4350
JTC-1231;1150
JTC-1232;1280
JTC-1234;2600
JTC-1233;2920
JTC-4690;2250
JTC-4035;850
JTC-1368;405
JTC-1562;1300
JTC-4518;375
JTC-4386;690
JTC-1367;440
JTC-4029;345
JTC-1303;380
JTC-1216;600
JTC-1718;700
JTC-4844;330
JTC-VAE1157;6300
JTC-4697;1935
JTC-4507;685
JTC-4928-2;1300
JTC-4768A-4;1750
JTC-4371;1750
JTC-4778;1455
JTC-4322;1760
JTC-6642;1440
JTC-1326;1860
JTC-1325;2015
JTC-4921;1540
JTC-JW0089;990
JTC-1525;1190
JTC-4686;615
JTC-4671;1790
JTC-JW1086;2180
JTC-4230;580
JTC-6743;6400
JTC-6747;14000
JTC-4456;10500
JTC-4457;10300
JTC-4094;3100
JTC-4382;7200
JTC-4382K;8000
JTC-4854;3475
JTC-4853;6970
JTC-4152;5350
JTC-4351;5100
JTC-6621;10500
JTC-7777;22300
JTC-4305;40500
JTC-4308;14700
JTC-4566;14000
JTC-4928;12500
JTC-1328;2540
JTC-4418;2980
JTC-4320;7050
JTC-4905;2790
JTC-4449;2220
JTC-5468;15100
JTC-4509;3100
JTC-4930;4650
JTC-4931;28000
JTC-4172;8100
JTC-4431;11160
JTC-4437;4960
JTC-4440;9000
JTC-4423;11160
JTC-4434;4960
JTC-4381;10600
JTC-4034;5770
JTC-JW0820;5250
JTC-4367;2750
JTC-4036;2990
JTC-4033;3950
JTC-4037;5200
JTC-4769;3255
JTC-4330;5450
JTC-JW0800;6750
JTC-4086;14850
JTC-4087;14300
JTC-4421;1900
JTC-4380;200
JTC-5340;500
JTC-5586;2650
JTC-4768A-1;1980
JTC-1006;1740
JTC-4505;1940
JTC-4506;865
JTC-4398;820
JTC-4560;12690
JTC-4710;13780
JTC-4807;15850
JTC-4370;1980
JTC-4420;1810
JTC-4574;1720
JTC-4575;1840
JTC-JW0831;2250
JTC-4573;3350
JTC-6636;2100
JTC-4862-3;1300
JTC-4501;1050
JTC-4472;3900
JTC-4265;1280
JTC-4748;2105
JTC-1012;2820
JTC-4508;765
JTC-1443;1040
JTC-4140;780
JTC-4083;14450
JTC-1327;2400
JTC-1003;10005
JTC-1526;2480
JTC-1305;18950
JTC-4649;5250
JTC-4884;3700
JTC-4491;495
JTC-6635;2350
JTC-6807;3100
JTC-4102S;1700
JTC-4503;1985
JTC-4504;3900
JTC-4379;330
JTC-6616;10650
JTC-6605;15700
JTC-4562;4495
JTC-4224;3750
JTC-4188;7450
JTC-4471;3650
JTC-4615;1260
JTC-4616;1260
JTC-4617;1280
JTC-1116;1810
JTC-4879;1150
JTC-4112;3800
JTC-4911;1200
JTC-1432;545
JTC-JW0771;36700
JTC-4862;5890
JTC-4417;3955
JTC-6643;1000
JTC-4282;1890
JTC-4285;3350
JTC-4284;1450
JTC-4286;1439
JTC-4742;408
JTC-4893;5550
JTC-4895;3490
JTC-4883;3730
JTC-4881;6600
JTC-4882;1440
JTC-4502;2980
JTC-6727;2330
JTC-1427;560
JTC-4745;2550
JTC-JW0775;3570
JTC-6789;3150
JTC-4647;4725
JTC-4743;2350
JTC-4847;5270
JTC-4769-1;835
JTC-4109;2690
JTC-4108;1000
JTC-4931-2+6;5115
JTC-1547;1050
JTC-1518;545
JTC-1519;560
JTC-1431;1180
JTC-4942;530
JTC-4089;530
JTC-6691;2230
JTC-4746;5365
JTC-4259;1650
JTC-4180;1550
JTC-4450;3720
JTC-4664;390
